ENGINE_RPM (),VEHICLE_SPEED (),THROTTLE (),ENGINE_LOAD (),COOLANT_TEMPERATURE (),LONG_TERM_FUEL_TRIM_BANK_1 (),SHORT_TERM_FUEL_TRIM_BANK_1 (),INTAKE_MANIFOLD_PRESSURE (),CONTROL_MODULE_VOLTAGE (),FUEL_AIR_COMMANDED_EQUIV_RATIO (),CATALYST_TEMPERATURE_BANK1_SENSOR1 (),Moving,Date_of_Compute,Date_of_Garage,Dynamic_Number_of_Days_Left
0,0,17.647058,0,28,-3.125,0,101,12.382,0,39.099998,1,5/12/2024 0:00,7/1/2024 0:00,364
0,0,17.647058,0,28,-3.125,0,101,12.382,0,39.099998,1,4/12/2024 0:00,7/1/2024 0:00,363
0,0,17.647058,0,28,-3.125,0,101,12.382,0,39.099998,1,3/12/2024 0:00,7/1/2024 0:00,362
0,0,17.647058,0,28,-3.125,0,101,12.382,0,39.099998,1,2/12/2024 0:00,7/1/2024 0:00,361
0,0,17.647058,0,28,-3.125,0,101,12.382,0,39.099998,1,1/12/2024 0:00,7/1/2024 0:00,360
0,0,17.647058,0,28,-3.125,0,101,12.285,0,39.099998,1,30/11/2024 0:00,14/1/2024 0:00,359
0,0,17.647058,0,28,-3.125,0,101,12.285,0,39.099998,1,29/11/2024 0:00,14/1/2024 0:00,358
0,0,17.647058,0,28,-3.125,0,101,12.285,0,39.099998,1,5/12/2024 0:00,14/1/2024 0:00,357
0,0,17.647058,0,28,-3.125,0,101,12.285,0,39.099998,1,4/12/2024 0:00,14/1/2024 0:00,356
0,0,17.647058,0,28,-3.125,0,101,12.363,0,39.099998,1,3/12/2024 0:00,14/1/2024 0:00,355
0,0,17.647058,0,28,-3.125,0,101,12.363,0,39.099998,1,2/12/2024 0:00,14/1/2024 0:00,354
0,0,17.647058,0,28,-3.125,0,101,12.363,0,39.099998,1,1/12/2024 0:00,14/1/2024 0:00,353
0,0,17.647058,0,28,-3.125,0,101,10.605,0,39.099998,1,30/11/2024 0:00,14/1/2024 0:00,352
0,0,17.647058,0,28,-3.125,0,101,10.605,0,39.099998,1,29/11/2024 0:00,14/1/2024 0:00,351
1793.75,0,20,25.09804,28,3.90625,0,24,10.605,0,39.099998,1,5/12/2024 0:00,14/1/2024 0:00,350
1793.75,0,20,25.09804,28,3.90625,0,24,10.605,0,39.099998,1,4/12/2024 0:00,14/1/2024 0:00,349
1793.75,0,20,25.09804,28,3.90625,0,24,12.011,0,39.099998,1,3/12/2024 0:00,14/1/2024 0:00,348
1793.75,0,20,25.09804,28,3.90625,0,24,12.011,0,39.099998,1,2/12/2024 0:00,14/1/2024 0:00,347
1802.25,0,20,23.137255,29,3.90625,0,23,12.011,0,39.099998,1,1/12/2024 0:00,14/1/2024 0:00,346
1802.25,0,20,23.137255,29,3.90625,0,23,12.011,0,39.099998,1,30/11/2024 0:00,14/1/2024 0:00,345
1802.25,0,20,23.137255,29,3.90625,0,23,14.101,0,28.099998,1,29/11/2024 0:00,14/1/2024 0:00,344
1802.25,0,20,23.921568,29,3.90625,0,23,14.101,0,28.099998,1,5/12/2024 0:00,14/1/2024 0:00,343
1700.75,0,19.607843,23.921568,29,3.90625,0,23,14.101,0,28.099998,1,4/12/2024 0:00,14/1/2024 0:00,342
1700.75,0,19.607843,23.921568,29,3.90625,0,23,14.316,0,32.5,1,3/12/2024 0:00,14/1/2024 0:00,341
1700.75,0,19.607843,23.921568,29,3.90625,0,23,14.316,0,32.5,1,2/12/2024 0:00,14/1/2024 0:00,340
1583.5,0,19.215687,23.137255,29,3.90625,0,23,14.316,0,32.5,1,1/12/2024 0:00,21/1/2024 0:00,339
1583.5,0,19.215687,23.137255,29,3.90625,0,23,14.316,0,32.5,1,30/11/2024 0:00,21/1/2024 0:00,338
1583.5,0,19.215687,23.137255,29,3.90625,0,23,14.335,0,38.800003,1,29/11/2024 0:00,21/1/2024 0:00,337
1583.5,0,19.215687,23.137255,29,3.90625,0,23,14.335,0,38.800003,1,5/12/2024 0:00,21/1/2024 0:00,336
1489,0,19.215687,23.921568,30,3.90625,0,25,14.335,0,38.800003,1,4/12/2024 0:00,21/1/2024 0:00,335
1489,0,19.215687,23.921568,30,3.90625,0,25,14.335,0,38.800003,1,3/12/2024 0:00,21/1/2024 0:00,334
1489,0,19.215687,23.921568,30,3.90625,0,25,14.335,0,42.400002,1,2/12/2024 0:00,21/1/2024 0:00,333
1489,0,19.215687,25.09804,30,3.90625,0,25,14.335,0,42.400002,1,1/12/2024 0:00,21/1/2024 0:00,332
1409.25,0,19.215687,25.09804,30,3.90625,0,25,14.335,0,42.400002,1,30/11/2024 0:00,21/1/2024 0:00,331
1409.25,0,19.215687,25.09804,30,3.90625,0,25,12.812,0,50.199997,1,29/11/2024 0:00,21/1/2024 0:00,330
1409.25,0,19.215687,25.09804,30,3.90625,0,25,12.812,0,50.199997,1,5/12/2024 0:00,21/1/2024 0:00,329
1429.5,0,20.784313,36.470589,30,3.125,0,36,12.812,0,50.199997,1,4/12/2024 0:00,21/1/2024 0:00,328
1429.5,0,20.784313,36.470589,30,3.125,0,36,12.812,0,50.199997,1,3/12/2024 0:00,21/1/2024 0:00,327
1429.5,0,20.784313,36.470589,30,3.125,0,36,14.257,0,60.5,1,2/12/2024 0:00,21/1/2024 0:00,326
1429.5,0,20.784313,36.470589,30,3.125,0,36,14.257,0,60.5,1,1/12/2024 0:00,21/1/2024 0:00,325
1452.25,0,21.17647,36.862743,31,3.125,0,37,14.257,0,60.5,1,30/11/2024 0:00,21/1/2024 0:00,324
1452.25,0,21.17647,36.862743,31,3.125,0,37,14.257,0,60.5,1,29/11/2024 0:00,21/1/2024 0:00,323
1452.25,0,21.17647,36.862743,31,3.125,0,37,14.257,0,73,1,5/12/2024 0:00,21/1/2024 0:00,322
1452.25,0,21.17647,35.686275,31,3.125,0,37,14.257,0,73,1,4/12/2024 0:00,21/1/2024 0:00,321
1456.25,0,20.784313,35.686275,31,3.125,0,35,14.257,0,73,1,3/12/2024 0:00,21/1/2024 0:00,320
1456.25,0,20.784313,35.686275,31,3.125,0,35,14.257,0,79.699997,1,2/12/2024 0:00,28/1/2024 0:00,319
1456.25,0,20.784313,35.686275,31,3.125,0,35,14.257,0,79.699997,1,1/12/2024 0:00,28/1/2024 0:00,318
1432.75,0,20.784313,35.686275,32,3.125,0,36,14.257,0,79.699997,1,30/11/2024 0:00,28/1/2024 0:00,317
1432.75,0,20.784313,35.686275,32,3.125,0,36,14.257,0,79.699997,1,29/11/2024 0:00,28/1/2024 0:00,316
1432.75,0,20.784313,35.686275,32,3.125,0,36,14.257,0,93.800003,1,5/12/2024 0:00,28/1/2024 0:00,315
1432.75,0,20.784313,35.686275,32,3.125,0,36,14.257,0,93.800003,1,4/12/2024 0:00,28/1/2024 0:00,314
1405.25,0,20.784313,35.294117,33,3.125,0,35,14.257,0,93.800003,1,3/12/2024 0:00,28/1/2024 0:00,313
1405.25,0,20.784313,35.294117,33,3.125,0,35,14.257,0,93.800003,1,2/12/2024 0:00,28/1/2024 0:00,312
1405.25,0,20.784313,35.294117,33,3.125,0,35,14.257,0,108.199997,1,1/12/2024 0:00,28/1/2024 0:00,311
1405.25,0,20.784313,34.509804,34,3.125,0,35,14.257,0,108.199997,1,30/11/2024 0:00,28/1/2024 0:00,310
1358.5,0,20.392157,34.509804,34,3.90625,0,34,14.257,0,108.199997,1,29/11/2024 0:00,28/1/2024 0:00,309
1358.5,0,20.392157,34.509804,34,3.90625,0,34,14.257,0,122.300003,1,5/12/2024 0:00,28/1/2024 0:00,308
1358.5,0,20.392157,34.509804,34,3.90625,0,34,14.257,0,122.300003,1,4/12/2024 0:00,28/1/2024 0:00,307
1285.75,0,20.392157,34.117645,35,3.90625,0,34,14.257,0,122.300003,1,3/12/2024 0:00,28/1/2024 0:00,306
1285.75,0,20,34.117645,35,3.90625,0,34,14.257,0,122.300003,1,2/12/2024 0:00,28/1/2024 0:00,305
1285.75,0,20,34.117645,35,3.90625,0,34,14.257,0,129.100006,1,1/12/2024 0:00,28/1/2024 0:00,304
1285.75,0,20,34.117645,35,3.90625,0,34,14.257,0,129.100006,1,30/11/2024 0:00,28/1/2024 0:00,303
1217,0,20,34.901962,35,3.90625,0,36,14.257,0,129.100006,1,29/11/2024 0:00,28/1/2024 0:00,302
1217,0,20,34.901962,35,3.90625,0,36,14.257,0,129.100006,1,5/12/2024 0:00,28/1/2024 0:00,301
1217,0,20,34.901962,35,3.90625,0,36,14.199,0,142.199997,1,4/12/2024 0:00,28/1/2024 0:00,300
1217,0,20,35.686275,36,3.90625,0,36,14.199,0,142.199997,1,3/12/2024 0:00,4/2/2024 0:00,299
1151.5,0,19.607843,35.686275,36,3.125,0,36,14.199,0,142.199997,1,2/12/2024 0:00,4/2/2024 0:00,298
1151.5,0,19.607843,35.686275,36,3.125,0,36,14.199,0,154.5,1,1/12/2024 0:00,4/2/2024 0:00,297
1151.5,0,19.607843,35.686275,36,3.125,0,36,14.199,0,154.5,1,30/11/2024 0:00,4/2/2024 0:00,296
1090.5,0,19.607843,34.901962,36,3.90625,0,35,14.199,0,154.5,1,29/11/2024 0:00,4/2/2024 0:00,295
1090.5,0,19.607843,34.901962,36,3.90625,0,35,14.199,0,154.5,1,5/12/2024 0:00,4/2/2024 0:00,294
1090.5,0,19.607843,34.901962,36,3.90625,0,35,14.199,0,165.899994,1,4/12/2024 0:00,4/2/2024 0:00,293
1090.5,0,19.607843,34.901962,36,3.90625,0,35,14.199,0,165.899994,1,3/12/2024 0:00,4/2/2024 0:00,292
1013.25,0,19.215687,34.509804,36,3.90625,0,35,14.199,0,165.899994,1,2/12/2024 0:00,4/2/2024 0:00,291
1013.25,0,19.215687,34.509804,36,3.90625,0,35,14.199,0,165.899994,1,1/12/2024 0:00,4/2/2024 0:00,290
1013.25,0,19.215687,34.509804,36,3.90625,0,35,14.179,0,176.100006,1,30/11/2024 0:00,4/2/2024 0:00,289
1013.25,0,19.215687,35.294117,36,3.90625,0,35,14.179,0,176.100006,1,29/11/2024 0:00,4/2/2024 0:00,288
961.5,0,19.215687,35.294117,37,3.125,0,35,14.179,0,176.100006,1,5/12/2024 0:00,4/2/2024 0:00,287
961.5,0,19.215687,35.294117,37,3.125,0,35,14.179,0,180.800003,1,4/12/2024 0:00,4/2/2024 0:00,286
961.5,0,19.215687,35.294117,37,3.125,0,35,14.179,0,180.800003,1,3/12/2024 0:00,4/2/2024 0:00,285
953.75,0,19.215687,37.254902,38,3.125,0,39,14.179,0,180.800003,1,2/12/2024 0:00,4/2/2024 0:00,284
953.75,0,19.215687,37.254902,38,3.125,0,39,14.179,0,180.800003,1,1/12/2024 0:00,4/2/2024 0:00,283
953.75,0,19.215687,37.254902,38,3.125,0,39,14.199,0,189.899994,1,30/11/2024 0:00,4/2/2024 0:00,282
953.75,0,19.215687,37.254902,38,3.125,0,39,14.199,0,189.899994,1,29/11/2024 0:00,4/2/2024 0:00,281
965.5,0,19.607843,38.431374,38,3.125,0,38,14.199,0,189.899994,1,5/12/2024 0:00,4/2/2024 0:00,280
965.5,0,19.607843,38.431374,38,3.125,0,38,14.199,0,189.899994,1,4/12/2024 0:00,11/2/2024 0:00,279
965.5,0,19.607843,38.431374,38,3.125,0,38,14.199,0,198.5,1,3/12/2024 0:00,11/2/2024 0:00,278
965.5,0,19.607843,38.431374,38,3.125,0,38,14.199,0,198.5,1,2/12/2024 0:00,11/2/2024 0:00,277
974,0,19.607843,38.823528,39,3.125,-6.25,40,14.199,0,198.5,1,1/12/2024 0:00,11/2/2024 0:00,276
974,0,19.607843,38.823528,39,3.125,-6.25,40,14.199,0,207,1,30/11/2024 0:00,11/2/2024 0:00,275
974,0,19.607843,38.823528,39,3.125,-6.25,40,14.199,0,207,1,29/11/2024 0:00,11/2/2024 0:00,274
962.5,0,19.607843,38.431374,40,3.125,-9.375,39,14.199,0,207,1,5/12/2024 0:00,11/2/2024 0:00,273
962.5,0,19.607843,38.431374,40,3.125,-9.375,39,14.199,0,207,1,4/12/2024 0:00,11/2/2024 0:00,272
962.5,0,19.607843,38.431374,40,3.125,-9.375,39,14.179,0,211.100006,1,3/12/2024 0:00,11/2/2024 0:00,271
962.5,0,19.607843,38.431374,40,3.125,-9.375,39,14.179,0,211.100006,1,2/12/2024 0:00,11/2/2024 0:00,270
952.25,0,19.607843,38.039215,40,3.125,-9.375,39,14.179,0,211.100006,1,1/12/2024 0:00,11/2/2024 0:00,269
952.25,0,19.607843,38.039215,40,3.125,-9.375,39,14.179,0,211.100006,1,30/11/2024 0:00,11/2/2024 0:00,268
952.25,0,19.607843,38.039215,40,3.125,-9.375,39,14.14,0,219.100006,1,29/11/2024 0:00,11/2/2024 0:00,267
952.25,0,19.607843,38.039215,40,3.125,-9.375,39,14.14,0,219.100006,1,5/12/2024 0:00,11/2/2024 0:00,266
965.5,0,19.215687,37.64706,40,3.125,-8.59375,38,14.14,0,219.100006,1,4/12/2024 0:00,11/2/2024 0:00,265
965.5,0,19.215687,37.64706,40,3.125,-8.59375,38,14.14,0,219.100006,1,3/12/2024 0:00,11/2/2024 0:00,264
965.5,0,19.215687,37.64706,40,3.125,-8.59375,38,14.14,0,226.799988,1,2/12/2024 0:00,11/2/2024 0:00,263
965.5,0,19.215687,37.64706,41,3.125,-12.5,38,14.14,0,226.799988,1,1/12/2024 0:00,11/2/2024 0:00,262
950,0,19.215687,37.64706,41,3.125,-12.5,38,14.14,0,226.799988,1,30/11/2024 0:00,11/2/2024 0:00,261
950,0,19.215687,37.64706,41,3.125,-12.5,38,14.14,0,234.200012,1,29/11/2024 0:00,11/2/2024 0:00,260
950,0,19.215687,37.64706,41,3.125,-12.5,38,14.14,0,234.200012,1,5/12/2024 0:00,18/2/2024 0:00,259
954.5,0,19.215687,37.64706,41,3.125,-7.03125,38,14.14,0,234.200012,1,4/12/2024 0:00,18/2/2024 0:00,258
954.5,0,19.215687,37.64706,41,3.125,-7.03125,38,14.14,0,234.200012,1,3/12/2024 0:00,18/2/2024 0:00,257
954.5,0,19.215687,37.64706,41,3.125,-7.03125,38,14.16,0,237.799988,1,2/12/2024 0:00,18/2/2024 0:00,256
954.5,0,19.215687,37.64706,41,3.125,-7.03125,38,14.16,0,237.799988,1,1/12/2024 0:00,18/2/2024 0:00,255
951.5,0,19.215687,36.862743,41,3.125,-10.9375,36,14.16,0,237.799988,1,30/11/2024 0:00,18/2/2024 0:00,254
951.5,0,19.215687,36.862743,41,3.125,-10.9375,36,14.16,0,237.799988,1,29/11/2024 0:00,18/2/2024 0:00,253
951.5,0,19.215687,36.862743,41,3.125,-10.9375,36,14.16,0,244.799988,1,5/12/2024 0:00,18/2/2024 0:00,252
951.5,0,19.215687,36.862743,42,3.125,-10.15625,36,14.16,0,244.799988,1,4/12/2024 0:00,18/2/2024 0:00,251
946,0,19.215687,36.862743,42,3.125,-10.15625,38,14.16,0,244.799988,1,3/12/2024 0:00,18/2/2024 0:00,250
946,0,19.215687,36.862743,42,3.125,-10.15625,38,14.16,0,251.399994,1,2/12/2024 0:00,18/2/2024 0:00,249
946,0,19.215687,36.862743,42,3.125,-10.15625,38,14.16,0,251.399994,1,1/12/2024 0:00,18/2/2024 0:00,248
957,0,19.215687,36.470589,43,3.125,-7.03125,37,14.16,0,251.399994,1,30/11/2024 0:00,18/2/2024 0:00,247
957,0,19.215687,36.470589,43,3.125,-7.03125,37,14.16,0,251.399994,1,29/11/2024 0:00,18/2/2024 0:00,246
957,0,19.215687,36.470589,43,3.125,-7.03125,37,14.16,0,257.799988,1,5/12/2024 0:00,18/2/2024 0:00,245
957,0,19.215687,36.470589,43,3.125,-7.03125,37,14.16,0,257.799988,1,4/12/2024 0:00,18/2/2024 0:00,244
925,0,19.215687,36.470589,43,3.125,-11.71875,37,14.16,0,257.799988,1,3/12/2024 0:00,18/2/2024 0:00,243
925,0,19.215687,36.470589,43,3.125,-11.71875,37,14.16,0,257.799988,1,2/12/2024 0:00,18/2/2024 0:00,242
